,revenue,cogs,gross_profit,operating_income,net_income,rnd,admin_expense,marketing_expense,revenue_budget,cogs_budget,rnd_budget,admin_budget,mkt_budget,operating_income_budget,revenue_var_pct,operating_income_var_pct
2010-03-27,13499000.0,7874000.0,5625000.0,3979000.0,3074000.0,426000.0,1220000.0,0.0,,,,,,,,
2010-06-26,15700000.0,9564000.0,6136000.0,4234000.0,3253000.0,464000.0,1438000.0,0.0,14173950.0,8768432.08502652,861075.4462646031,997652.6507807283,0.0,3546789.8179281494,10.76658235707054,19.375554158810658
2010-09-25,20343000.0,12831000.0,7512000.0,5447000.0,4308000.0,494000.0,1571000.0,0.0,16485000.0,10198117.17422893,1001473.035510354,1160319.0323177595,0.0,4125090.757942956,23.403093721565057,32.04557959147147
2010-12-25,26741000.0,16443000.0,10298000.0,7827000.0,6004000.0,575000.0,1896000.0,0.0,21360150.0,13214031.699066188,1297641.1440373969,1503463.0620662535,0.0,5345014.094830162,25.191068414781732,46.43553526959788
2011-03-26,24667000.0,14449000.0,10218000.0,7874000.0,5987000.0,581000.0,1763000.0,0.0,28078050.0,17369926.837965343,1705757.3530307245,1976311.5441534526,0.0,7026054.26485048,-12.148457603003058,12.068590750737183
2011-06-25,28571000.0,16649000.0,11922000.0,9379000.0,7308000.0,628000.0,1915000.0,0.0,25900350.0,16022736.072401596,1573460.8513970638,1823031.182814151,0.0,6481121.893387189,10.311250620165364,44.712599983184546
2011-09-24,28270000.0,16890000.0,11380000.0,8710000.0,6623000.0,645000.0,2025000.0,0.0,29999550.0,18558624.572286293,1822489.560354543,2111558.9218057776,0.0,7506876.9455533875,-5.7652531454638485,16.02694520201598
2011-12-31,46333000.0,25630000.0,20703000.0,17340000.0,13064000.0,758000.0,2605000.0,0.0,29683500.0,18363106.529646616,1803289.344832975,2089313.3148804498,0.0,7427790.810639959,56.09008371654286,133.44760834084434
2012-03-31,39186000.0,20622000.0,18564000.0,15384000.0,11622000.0,841000.0,2339000.0,0.0,48649650.0,30096137.77283752,2955493.640401352,3424271.4474126594,0.0,12173747.13934847,-19.452657932790885,26.370293582616178
2012-06-30,35023000.0,20029000.0,14994000.0,11573000.0,8824000.0,876000.0,2545000.0,0.0,41145300.0,25453720.992951266,2499600.150924123,2896067.6178601095,0.0,10295911.238264501,-14.879706795186815,12.40384393553462
2012-09-29,35966000.0,21565000.0,14401000.0,10944000.0,8223000.0,906000.0,2551000.0,0.0,36774150.0,22749596.037771966,2234050.3262852947,2588398.310118783,0.0,9202105.325823955,-2.197603479618156,18.9293059848788
2012-12-29,54512000.0,33452000.0,21060000.0,17210000.0,13078000.0,1010000.0,2840000.0,0.0,37764300.0,23362132.629829157,2294202.49650735,2658091.3577286964,0.0,9449873.515934795,44.34796884888638,82.11883969642275
2013-03-30,43603000.0,27254000.0,16349000.0,12558000.0,9547000.0,1119000.0,2672000.0,0.0,57237600.0,35408902.127488375,3477216.440238243,4028745.929280618,0.0,14322735.502992762,-23.821054691321788,-12.321218266049927
2013-06-29,35323000.0,22299000.0,13024000.0,9201000.0,6900000.0,1178000.0,2645000.0,0.0,45783150.0,28322834.595407903,2781352.1507871314,3222508.965996896,0.0,11456454.287808068,-22.847161018846453,-19.687193185140337
2013-09-28,37472000.0,23601000.0,13871000.0,10030000.0,7512000.0,1168000.0,2673000.0,0.0,37089150.0,22944464.518808186,2253186.753715429,2610570.0113732624,0.0,9280928.716103122,1.0322425830734865,8.071081104169911
2013-12-28,57594000.0,35748000.0,21846000.0,17463000.0,13072000.0,1330000.0,3053000.0,0.0,39345600.0,24340372.40463099,2390267.362206623,2769393.2980261836,0.0,9845566.935136205,46.379773087715016,77.36916639791667
2014-03-29,45646000.0,27699000.0,17947000.0,13593000.0,10223000.0,1422000.0,2932000.0,0.0,60473700.0,37410850.98933382,3673811.3380371546,4256523.206834971,0.0,15132514.46579405,-24.519253824389775,-10.173553570849112
2014-06-28,37432000.0,22697000.0,14735000.0,10282000.0,7748000.0,1603000.0,2850000.0,0.0,47928300.0,29649888.951264575,2911671.221586345,3373498.2515399014,0.0,11993241.57560918,-21.900004798834928,-14.26838244540454
2014-09-27,42123000.0,26114000.0,16009000.0,11165000.0,8467000.0,1686000.0,3158000.0,0.0,39303600.0,24314389.940492827,2387715.838549272,2766437.071192253,0.0,9835057.149765648,7.173388697218576,13.52247200989617
2014-12-27,74599000.0,44858000.0,29741000.0,24246000.0,18024000.0,1895000.0,3600000.0,0.0,44229150.0,27361483.42229588,2686945.7754651364,3113128.573141464,0.0,11067592.22909752,68.664783293371,119.07203932085129
2015-03-28,58010000.0,34354000.0,23656000.0,18278000.0,13569000.0,1918000.0,3460000.0,0.0,78328950.0,48456646.05607032,4758527.832868592,5513289.139609716,0.0,19600486.971451372,-25.94053667258402,-6.74721486959793
