,revenue,cogs,gross_profit,operating_income,net_income,rnd,admin_expense,marketing_expense,gross_margin_pct,operating_margin_pct,net_margin_pct,revenue_growth_pct,net_income_growth_pct,rnd_ratio_pct,admin_ratio_pct,marketing_ratio_pct
2010-03-27,13499000.0,7874000.0,5625000.0,3979000.0,3074000.0,426000.0,1220000.0,0.0,41.66975331506037,29.47625750055559,22.772057189421435,,,3.1557893177272387,9.037706496777538,0.0
2010-06-26,15700000.0,9564000.0,6136000.0,4234000.0,3253000.0,464000.0,1438000.0,0.0,39.0828025477707,26.968152866242036,20.719745222929934,16.304911474924076,5.823031880286278,2.955414012738853,9.159235668789806,0.0
2010-09-25,20343000.0,12831000.0,7512000.0,5447000.0,4308000.0,494000.0,1571000.0,0.0,36.92670697537236,26.775795113798356,21.17681757852824,29.573248407643305,32.43160159852443,2.428353733470973,7.722558128103032,0.0
2010-12-25,26741000.0,16443000.0,10298000.0,7827000.0,6004000.0,575000.0,1896000.0,0.0,38.51015294865562,29.26966082046296,22.452413896264165,31.45062183552081,39.3686165273909,2.150256160951348,7.090235967241315,0.0
2011-03-26,24667000.0,14449000.0,10218000.0,7874000.0,5987000.0,581000.0,1763000.0,0.0,41.42376454372238,31.921190254185756,24.271293631167147,-7.75588048315321,-0.28314457028647544,2.3553735760327563,7.147200713503872,0.0
2011-06-25,28571000.0,16649000.0,11922000.0,9379000.0,7308000.0,628000.0,1915000.0,0.0,41.72762591438872,32.82699240488608,25.578383675755134,15.826813151173624,22.064473024887256,2.1980329704945576,6.702600539008086,0.0
2011-09-24,28270000.0,16890000.0,11380000.0,8710000.0,6623000.0,645000.0,2025000.0,0.0,40.25468694729395,30.810045985143265,23.427661832331093,-1.0535158027370373,-9.373289545703333,2.281570569508313,7.1630703926423775,0.0
2011-12-31,46333000.0,25630000.0,20703000.0,17340000.0,13064000.0,758000.0,2605000.0,0.0,44.68305527377895,37.42472967431421,28.195886301340295,63.89458790236999,97.2520006039559,1.6359829926834004,5.622342606781343,0.0
2012-03-31,39186000.0,20622000.0,18564000.0,15384000.0,11622000.0,841000.0,2339000.0,0.0,47.37406216505895,39.25891900168427,29.65855152350329,-15.425290829430427,-11.037966932026944,2.1461746542132394,5.968968509161435,0.0
2012-06-30,35023000.0,20029000.0,14994000.0,11573000.0,8824000.0,876000.0,2545000.0,0.0,42.81186648773663,33.04399965736802,25.19487194129572,-10.62369213494615,-24.075030115298567,2.501213488279131,7.266653342089484,0.0
2012-09-29,35966000.0,21565000.0,14401000.0,10944000.0,8223000.0,906000.0,2551000.0,0.0,40.040593894233446,30.428738252794307,22.86325974531502,2.6925163464009305,-6.810970081595647,2.5190457654451426,7.092809875993994,0.0
2012-12-29,54512000.0,33452000.0,21060000.0,17210000.0,13078000.0,1010000.0,2840000.0,0.0,38.63369533313766,31.571030231875554,23.991047842676842,51.5653672913307,59.04171227046091,1.8528030525388908,5.209862048723217,0.0
2013-03-30,43603000.0,27254000.0,16349000.0,12558000.0,9547000.0,1119000.0,2672000.0,0.0,37.495126482122785,28.800770589179642,21.89528243469486,-20.012107425887883,-26.999541214252943,2.5663371786344977,6.128018714308649,0.0
2013-06-29,35323000.0,22299000.0,13024000.0,9201000.0,6900000.0,1178000.0,2645000.0,0.0,36.87116043371175,26.04818390283951,19.53401466466608,-18.989519069788773,-27.725987221116576,3.3349375760835716,7.4880389547886645,0.0
2013-09-28,37472000.0,23601000.0,13871000.0,10030000.0,7512000.0,1168000.0,2673000.0,0.0,37.01697267292912,26.76665243381725,20.046968403074295,6.083854712227166,8.869565217391306,3.116994022203245,7.133326216908626,0.0
2013-12-28,57594000.0,35748000.0,21846000.0,17463000.0,13072000.0,1330000.0,3053000.0,0.0,37.93103448275862,30.32086675695385,22.69680869535021,53.69876174210078,74.01490947816826,2.309268326561795,5.300899399242977,0.0
2014-03-29,45646000.0,27699000.0,17947000.0,13593000.0,10223000.0,1422000.0,2932000.0,0.0,39.31779345397187,29.779170135389737,22.396266923717302,-20.745216515609265,-21.794675642594864,3.1152784471804758,6.423344871401657,0.0
2014-06-28,37432000.0,22697000.0,14735000.0,10282000.0,7748000.0,1603000.0,2850000.0,0.0,39.36471468262449,27.468476170121818,20.698867279333193,-17.995005038776668,-24.21011444781376,4.282432143620431,7.61380636888224,0.0
2014-09-27,42123000.0,26114000.0,16009000.0,11165000.0,8467000.0,1686000.0,3158000.0,0.0,38.0053652398927,26.50570946988581,20.10065759798685,12.532058132079493,9.279814145585963,4.002563919948721,7.497091850058163,0.0
2014-12-27,74599000.0,44858000.0,29741000.0,24246000.0,18024000.0,1895000.0,3600000.0,0.0,39.86782664646979,32.50177616321935,24.161181785278625,77.09802245803957,112.87350891697176,2.540248528800654,4.825801954449791,0.0
2015-03-28,58010000.0,34354000.0,23656000.0,18278000.0,13569000.0,1918000.0,3460000.0,0.0,40.77917600413722,31.508360627478023,23.39079469057059,-22.23756350621322,-24.717043941411454,3.3063264954318226,5.964488881227375,0.0
2015-06-27,49605000.0,29924000.0,19681000.0,14083000.0,10677000.0,2034000.0,3564000.0,0.0,39.67543594395726,28.390283237576856,21.524039915331116,-14.488881227374595,-21.313287640946278,4.100393105533716,7.184759600846689,0.0
2015-09-26,51501000.0,30953000.0,20548000.0,14623000.0,11124000.0,2220000.0,3705000.0,0.0,39.89825440282713,28.39362342478787,21.599580590668143,3.8221953432113764,4.186569261028383,4.310595910759014,7.194035067280247,0.0
